publication,year,endorsed,source,source2,notes
Austin American-Statesman,1992,Clinton,"""Texas newspaper endorsements."" Austin American-Statesman. Oct 30, 1992. p. A16.",,
Austin American-Statesman,1996,Clinton,"""Clinton best for nation."" Austin American-Statesman. Oct 27, 1996. p. K2.",,
Austin American-Statesman,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Austin American-Statesman,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Austin American-Statesman,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Austin American-Statesman,2012,None,http://www.statesman.com/news/news/opinion/hiott-no-american-statesman-endorsement-in-preside/nSwGQ/,,
Austin American-Statesman,2016,None,http://viewpoints.blog.statesman.com/2016/02/15/heres-why-we-are-not-endorsing-in-the-presidential-primary/,,
Baltimore Sun,1980,Carter,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Baltimore Sun,1984,None,http://articles.baltimoresun.com/1992-10-04/news/1992278148_1_sun-sterne-endorsing-a-presidential,,
Baltimore Sun,1988,None,http://articles.baltimoresun.com/1992-10-04/news/1992278148_1_sun-sterne-endorsing-a-presidential,,
Baltimore Sun,1992,None,http://articles.baltimoresun.com/1992-10-04/news/1992278148_1_sun-sterne-endorsing-a-presidential,,
Baltimore Sun,1996,None,http://articles.baltimoresun.com/1996-10-27/news/1996301002_1_grand-ambitions-clinton-dole,,
Baltimore Sun,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early103000.htm,,
Baltimore Sun,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Baltimore Sun,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Baltimore Sun,2012,Obama,http://www.baltimoresun.com/news/opinion/editorial/bs-ed-obama-endorsement-20121103-story.html,,
Baltimore Sun,2016,Clinton,http://www.baltimoresun.com/news/opinion/editorial/bs-ed-hillary-clinton-endorsement-20160929-story.html,,
Baton Rouge Advocate,1980,Reagan,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Baton Rouge Advocate,1984,Reagan,http://www.upi.com/Archives/1984/11/04/Several-US-newspapers-waited-until-the-Sunday-before-Election/7137468392400/,,
Baton Rouge Advocate,1988,Bush,"Associated Press. ""8 La. papers back Bush, 1 for Dukakis."" Baton Rouge Advocate. Nov 6, 1988. p. 11A.",,
Baton Rouge Advocate,1992,None,"Email from Judy Jumonville, Advocate Library Manager",,"Advocate stopped endorsing candidates in 1992, has continued that policy since"
Baton Rouge Advocate,1996,None,"Email from Judy Jumonville, Advocate Library Manager",,"Advocate stopped endorsing candidates in 1992, has continued that policy since"
Baton Rouge Advocate,2000,None,"Email from Judy Jumonville, Advocate Library Manager",,"Advocate stopped endorsing candidates in 1992, has continued that policy since"
Baton Rouge Advocate,2004,None,"Email from Judy Jumonville, Advocate Library Manager",,"Advocate stopped endorsing candidates in 1992, has continued that policy since"
Baton Rouge Advocate,2008,None,"Email from Judy Jumonville, Advocate Library Manager",,"Advocate stopped endorsing candidates in 1992, has continued that policy since"
Baton Rouge Advocate,2012,None,"Email from Judy Jumonville, Advocate Library Manager",,"Advocate stopped endorsing candidates in 1992, has continued that policy since"
Baton Rouge Advocate,2016,Unknown,,,
Bergen Record,1980,Unknown,,,
Bergen Record,1984,Mondale,"Associated Press. Nov 4, 1984.",,
Bergen Record,1988,Bush,"Confirmed by Donna Blair, Record Librarian, via phone",,
Bergen Record,1992,Clinton,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,
Bergen Record,1996,Clinton,"""More papers make endorsements in presidential race."" Editor & Publisher. Volume 129, Issue 45. Nov 9, 1996. p. 3.",,
Bergen Record,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Bergen Record,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Bergen Record,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
